trailer_id,trailer_type,load_type,capacity_kg,current_yard_location,status,priority
TR0071,Dry Van,Fragile,25000,Y-C07,Unloading,Low
TR0072,Flatbed,Temperature-Controlled,25000,Y-A08,Waiting,Low
TR0073,Refrigerated,General,10000,Y-A06,Loading,High
TR0074,Refrigerated,Temperature-Controlled,10000,Y-A08,Loading,Medium
TR0075,Dry Van,General,15000,Y-A07,Waiting,High
TR0076,Flatbed,General,25000,Y-B02,Unloading,Low
TR0077,Dry Van,General,10000,Y-B01,Loading,High
TR0078,Refrigerated,Fragile,25000,Y-C02,Loading,Medium
TR0079,Refrigerated,Fragile,25000,Y-A05,Loading,Medium
TR0080,Flatbed,Fragile,20000,Y-A04,Unloading,Medium
TR0081,Refrigerated,Fragile,10000,Y-B02,Loading,Low
TR0082,Flatbed,General,15000,Y-B02,Waiting,Medium
TR0083,Dry Van,General,15000,Y-B02,At Gate,Medium
TR0084,Dry Van,Heavy,20000,Y-A09,Waiting,Medium
TR0085,Refrigerated,Temperature-Controlled,20000,Y-C05,At Gate,High
TR0086,Flatbed,Fragile,15000,Y-B06,Loading,High
TR0087,Dry Van,General,10000,Y-A05,Loading,Low
TR0088,Refrigerated,Heavy,25000,Y-B03,At Gate,High
TR0089,Flatbed,Temperature-Controlled,20000,Y-C05,Waiting,High
TR0090,Refrigerated,Fragile,20000,Y-B01,At Gate,Low
TR0091,Dry Van,Heavy,25000,Y-B01,Loading,Low
TR0092,Dry Van,Temperature-Controlled,25000,Y-C01,Loading,Medium
TR0093,Flatbed,Temperature-Controlled,20000,Y-A01,Unloading,High
TR0094,Flatbed,Temperature-Controlled,15000,Y-B03,Unloading,High
TR0095,Refrigerated,General,25000,Y-A07,Loading,Medium
TR0096,Refrigerated,General,10000,Y-A10,Loading,Low
TR0097,Dry Van,General,10000,Y-C01,Waiting,High
TR0098,Dry Van,General,15000,Y-A02,Waiting,High
TR0099,Refrigerated,Heavy,25000,Y-B05,At Gate,Medium
TR0100,Refrigerated,Heavy,25000,Y-B10,Unloading,High
