gr_id,po_id,shipment_id,received_date,expected_quantity,received_quantity,damaged_quantity,receiver,status
GR00079,PO00079,SHP00079,2026-08-14,750,750,0,Warehouse Team,Accepted
GR00080,PO00080,SHP00080,2026-08-16,200,200,0,Warehouse Team,Accepted
GR00081,PO00081,SHP00081,2026-08-15,50,50,0,Warehouse Team,Accepted
GR00082,PO00082,SHP00082,2026-08-13,1000,1000,0,Warehouse Team,Accepted
GR00083,PO00083,SHP00083,2026-08-13,500,480,20,Warehouse Team,Exception
GR00084,PO00084,SHP00084,2026-08-17,100,100,0,Warehouse Team,Accepted
GR00085,PO00085,SHP00085,2026-08-16,100,100,0,Warehouse Team,Accepted
GR00086,PO00086,SHP00086,2026-08-17,200,200,0,Warehouse Team,Accepted
GR00087,PO00087,SHP00087,2026-08-15,300,300,0,Warehouse Team,Accepted
GR00088,PO00088,SHP00088,2026-08-12,500,500,0,Warehouse Team,Accepted
GR00089,PO00089,SHP00089,2026-08-13,500,500,0,Warehouse Team,Accepted
GR00090,PO00090,SHP00090,2026-08-17,200,200,0,Warehouse Team,Accepted
GR00091,PO00091,SHP00091,2026-08-22,50,50,0,Warehouse Team,Accepted
GR00092,PO00092,SHP00092,2026-08-22,200,200,0,Warehouse Team,Accepted
GR00093,PO00093,SHP00093,2026-08-14,100,100,0,Warehouse Team,Accepted
GR00094,PO00094,SHP00094,2026-08-16,300,300,0,Warehouse Team,Accepted
GR00095,PO00095,SHP00095,2026-08-20,500,500,0,Warehouse Team,Accepted
GR00096,PO00096,SHP00096,2026-08-20,200,200,0,Warehouse Team,Accepted
GR00097,PO00097,SHP00097,2026-08-18,200,200,0,Warehouse Team,Accepted
GR00098,PO00098,SHP00098,2026-08-17,50,50,0,Warehouse Team,Accepted
GR00099,PO00099,SHP00099,2026-08-14,1000,1000,0,Warehouse Team,Accepted
GR00100,PO00100,SHP00100,2026-08-13,100,100,0,Warehouse Team,Accepted
