match_id,invoice_id,po_id,gr_id,po_quantity,received_quantity,invoice_quantity,po_unit_price,invoice_unit_price,quantity_match,price_match,overall_status,action
MATCH00064,INV00064,PO00064,GR00064,300,300,300,1800.0,1980.0,Yes,No,Anomaly,Hold Payment
MATCH00065,INV00065,PO00065,GR00065,100,100,100,420.0,420.0,Yes,Yes,Matched,Auto Approve
MATCH00066,INV00066,PO00066,GR00066,200,200,200,1200.0,1200.0,Yes,Yes,Matched,Auto Approve
MATCH00067,INV00067,PO00067,GR00067,50,50,50,1800.0,1800.0,Yes,Yes,Matched,Auto Approve
MATCH00068,INV00068,PO00068,GR00068,1000,1000,1000,5200.0,5200.0,Yes,Yes,Matched,Auto Approve
MATCH00069,INV00069,PO00069,GR00069,750,750,750,120.0,120.0,Yes,Yes,Matched,Auto Approve
MATCH00070,INV00070,PO00070,GR00070,200,200,200,420.0,420.0,Yes,Yes,Matched,Auto Approve
MATCH00071,INV00071,PO00071,GR00071,200,200,200,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00072,INV00072,PO00072,GR00072,1000,1000,1000,1200.0,1200.0,Yes,Yes,Matched,Auto Approve
MATCH00073,INV00073,PO00073,GR00073,750,750,750,420.0,420.0,Yes,Yes,Matched,Auto Approve
MATCH00074,INV00074,PO00074,GR00074,50,50,50,1800.0,1800.0,Yes,Yes,Matched,Auto Approve
MATCH00075,INV00075,PO00075,GR00075,1000,1000,1000,18500.0,18500.0,Yes,Yes,Matched,Auto Approve
MATCH00076,INV00076,PO00076,GR00076,200,200,200,420.0,420.0,Yes,Yes,Matched,Auto Approve
MATCH00077,INV00077,PO00077,GR00077,200,200,200,180.0,180.0,Yes,Yes,Matched,Auto Approve
MATCH00078,INV00078,PO00078,GR00078,750,750,750,180.0,198.0,Yes,No,Anomaly,Hold Payment
MATCH00079,INV00079,PO00079,GR00079,750,750,750,850.0,850.0,Yes,Yes,Matched,Auto Approve
MATCH00080,INV00080,PO00080,GR00080,200,200,200,650.0,650.0,Yes,Yes,Matched,Auto Approve
MATCH00081,INV00081,PO00081,GR00081,50,50,50,18500.0,18500.0,Yes,Yes,Matched,Auto Approve
MATCH00082,INV00082,PO00082,GR00082,1000,1000,1000,180.0,180.0,Yes,Yes,Matched,Auto Approve
MATCH00083,INV00083,PO00083,GR00083,500,480,480,120.0,120.0,No,Yes,Anomaly,Hold Payment
MATCH00084,INV00084,PO00084,GR00084,100,100,100,650.0,650.0,Yes,Yes,Matched,Auto Approve
MATCH00085,INV00085,PO00085,GR00085,100,100,100,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00086,INV00086,PO00086,GR00086,200,200,200,18500.0,18500.0,Yes,Yes,Matched,Auto Approve
MATCH00087,INV00087,PO00087,GR00087,300,300,300,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00088,INV00088,PO00088,GR00088,500,500,500,5200.0,5200.0,Yes,Yes,Matched,Auto Approve
MATCH00089,INV00089,PO00089,GR00089,500,500,500,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00090,INV00090,PO00090,GR00090,200,200,200,18500.0,18500.0,Yes,Yes,Matched,Auto Approve
MATCH00091,INV00091,PO00091,GR00091,50,50,50,850.0,850.0,Yes,Yes,Matched,Auto Approve
MATCH00092,INV00092,PO00092,GR00092,200,200,200,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00093,INV00093,PO00093,GR00093,100,100,100,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00094,INV00094,PO00094,GR00094,300,300,300,1800.0,1800.0,Yes,Yes,Matched,Auto Approve
MATCH00095,INV00095,PO00095,GR00095,500,500,500,120.0,120.0,Yes,Yes,Matched,Auto Approve
MATCH00096,INV00096,PO00096,GR00096,200,200,200,120.0,132.0,Yes,No,Anomaly,Hold Payment
MATCH00097,INV00097,PO00097,GR00097,200,200,200,120.0,120.0,Yes,Yes,Matched,Auto Approve
MATCH00098,INV00098,PO00098,GR00098,50,50,50,650.0,650.0,Yes,Yes,Matched,Auto Approve
MATCH00099,INV00099,PO00099,GR00099,1000,1000,1000,850.0,850.0,Yes,Yes,Matched,Auto Approve
MATCH00100,INV00100,PO00100,GR00100,100,100,100,650.0,650.0,Yes,Yes,Matched,Auto Approve
