requisition_id,requester,department,product_id,quantity,required_date,destination,priority,status
REQ0022,User_05,Maintenance,PROD021,1000,2026-08-12,Kolkata Warehouse,Low,Approved
REQ0023,User_04,Production,PROD018,50,2026-08-11,Kolkata Warehouse,High,Approved
REQ0024,User_09,Maintenance,PROD038,300,2026-08-09,Durgapur Warehouse,High,Approved
REQ0025,User_12,Maintenance,PROD045,100,2026-08-07,Durgapur Warehouse,Low,Approved
REQ0026,User_03,Operations,PROD004,200,2026-08-11,Durgapur Warehouse,High,Approved
REQ0027,User_13,Operations,PROD044,100,2026-08-15,Durgapur Warehouse,Low,Approved
REQ0028,User_01,Operations,PROD028,500,2026-08-08,Howrah Warehouse,High,Approved
REQ0029,User_12,Maintenance,PROD019,100,2026-08-15,Howrah Warehouse,Medium,Approved
REQ0030,User_03,Maintenance,PROD018,50,2026-08-10,Howrah Warehouse,Low,Approved
REQ0031,User_01,Production,PROD048,500,2026-08-07,Kolkata Warehouse,Medium,Approved
REQ0032,User_07,Maintenance,PROD032,300,2026-08-15,Durgapur Warehouse,Medium,Approved
REQ0033,User_14,Production,PROD050,1000,2026-08-08,Howrah Warehouse,High,Approved
REQ0034,User_02,Production,PROD019,750,2026-08-10,Howrah Warehouse,Medium,Approved
REQ0035,User_08,Production,PROD033,300,2026-08-14,Durgapur Warehouse,Medium,Approved
REQ0036,User_14,Operations,PROD001,750,2026-08-09,Howrah Warehouse,Medium,Approved
REQ0037,User_01,Maintenance,PROD025,1000,2026-08-13,Howrah Warehouse,Medium,Approved
REQ0038,User_03,Maintenance,PROD034,50,2026-08-10,Howrah Warehouse,High,Approved
REQ0039,User_01,Operations,PROD046,1000,2026-08-08,Kolkata Warehouse,High,Approved
REQ0040,User_05,Maintenance,PROD003,1000,2026-08-07,Durgapur Warehouse,Low,Approved
REQ0041,User_11,Production,PROD030,300,2026-08-15,Durgapur Warehouse,Medium,Approved
REQ0042,User_10,Maintenance,PROD031,100,2026-08-17,Howrah Warehouse,Medium,Approved
REQ0043,User_11,Operations,PROD015,500,2026-08-11,Howrah Warehouse,Medium,Approved
REQ0044,User_13,Operations,PROD027,100,2026-08-09,Durgapur Warehouse,Low,Approved
REQ0045,User_06,Production,PROD015,1000,2026-08-09,Durgapur Warehouse,High,Approved
REQ0046,User_11,Production,PROD036,500,2026-08-08,Howrah Warehouse,Low,Approved
REQ0047,User_12,Operations,PROD030,750,2026-08-11,Durgapur Warehouse,High,Approved
REQ0048,User_06,Production,PROD007,500,2026-08-11,Durgapur Warehouse,High,Approved
REQ0049,User_04,Operations,PROD037,50,2026-08-11,Kolkata Warehouse,High,Approved
REQ0050,User_10,Maintenance,PROD001,1000,2026-08-11,Kolkata Warehouse,Low,Approved
REQ0051,User_13,Operations,PROD015,50,2026-08-12,Howrah Warehouse,High,Approved
REQ0052,User_10,Operations,PROD010,100,2026-08-17,Howrah Warehouse,Medium,Approved
REQ0053,User_07,Maintenance,PROD050,750,2026-08-14,Kolkata Warehouse,Low,Approved
REQ0054,User_02,Operations,PROD006,50,2026-08-17,Howrah Warehouse,Medium,Approved
REQ0055,User_04,Production,PROD023,500,2026-08-18,Howrah Warehouse,High,Approved
REQ0056,User_15,Operations,PROD040,50,2026-08-14,Howrah Warehouse,High,Approved
REQ0057,User_04,Maintenance,PROD002,750,2026-08-17,Durgapur Warehouse,High,Approved
REQ0058,User_08,Maintenance,PROD043,300,2026-08-16,Durgapur Warehouse,High,Approved
REQ0059,User_13,Production,PROD001,200,2026-08-12,Durgapur Warehouse,Low,Approved
REQ0060,User_14,Maintenance,PROD028,300,2026-08-10,Howrah Warehouse,Low,Approved
REQ0061,User_09,Production,PROD016,500,2026-08-17,Durgapur Warehouse,Medium,Approved
REQ0062,User_05,Production,PROD010,50,2026-08-16,Kolkata Warehouse,Low,Approved
REQ0063,User_10,Production,PROD029,1000,2026-08-12,Durgapur Warehouse,Medium,Approved
REQ0064,User_11,Production,PROD048,300,2026-08-19,Durgapur Warehouse,High,Approved
REQ0065,User_06,Maintenance,PROD034,100,2026-08-13,Durgapur Warehouse,Medium,Approved
REQ0066,User_10,Operations,PROD039,200,2026-08-14,Kolkata Warehouse,Low,Approved
REQ0067,User_05,Production,PROD033,50,2026-08-13,Kolkata Warehouse,Medium,Approved
REQ0068,User_13,Operations,PROD011,1000,2026-08-11,Kolkata Warehouse,High,Approved
REQ0069,User_08,Maintenance,PROD013,750,2026-08-13,Durgapur Warehouse,High,Approved
REQ0070,User_13,Production,PROD034,200,2026-08-19,Durgapur Warehouse,Low,Approved
REQ0071,User_01,Maintenance,PROD025,200,2026-08-19,Kolkata Warehouse,Low,Approved
REQ0072,User_09,Operations,PROD017,1000,2026-08-14,Howrah Warehouse,Low,Approved
REQ0073,User_10,Production,PROD035,750,2026-08-12,Howrah Warehouse,High,Approved
REQ0074,User_14,Maintenance,PROD033,50,2026-08-16,Kolkata Warehouse,Medium,Approved
REQ0075,User_08,Operations,PROD042,1000,2026-08-12,Durgapur Warehouse,High,Approved
REQ0076,User_13,Operations,PROD035,200,2026-08-12,Kolkata Warehouse,Low,Approved
REQ0077,User_05,Production,PROD045,200,2026-08-12,Howrah Warehouse,High,Approved
REQ0078,User_06,Maintenance,PROD028,750,2026-08-12,Kolkata Warehouse,Medium,Approved
REQ0079,User_01,Production,PROD010,750,2026-08-14,Kolkata Warehouse,Medium,Approved
REQ0080,User_06,Operations,PROD009,200,2026-08-16,Durgapur Warehouse,Medium,Approved
REQ0081,User_14,Production,PROD032,50,2026-08-15,Durgapur Warehouse,Low,Approved
REQ0082,User_09,Production,PROD045,1000,2026-08-13,Kolkata Warehouse,Medium,Approved
REQ0083,User_13,Maintenance,PROD047,500,2026-08-13,Howrah Warehouse,Medium,Approved
REQ0084,User_03,Production,PROD008,100,2026-08-17,Durgapur Warehouse,Medium,Approved
REQ0085,User_10,Operations,PROD038,100,2026-08-16,Howrah Warehouse,High,Approved
REQ0086,User_05,Maintenance,PROD032,200,2026-08-17,Kolkata Warehouse,High,Approved
REQ0087,User_13,Maintenance,PROD021,300,2026-08-15,Howrah Warehouse,Low,Approved
REQ0088,User_06,Production,PROD011,500,2026-08-12,Kolkata Warehouse,High,Approved
REQ0089,User_11,Maintenance,PROD019,500,2026-08-13,Durgapur Warehouse,High,Approved
REQ0090,User_07,Operations,PROD024,200,2026-08-17,Durgapur Warehouse,Low,Approved
REQ0091,User_12,Maintenance,PROD003,50,2026-08-22,Durgapur Warehouse,Low,Approved
REQ0092,User_14,Production,PROD046,200,2026-08-22,Durgapur Warehouse,Medium,Approved
REQ0093,User_11,Operations,PROD038,100,2026-08-14,Howrah Warehouse,High,Approved
REQ0094,User_12,Production,PROD033,300,2026-08-16,Howrah Warehouse,High,Approved
REQ0095,User_04,Production,PROD050,500,2026-08-20,Durgapur Warehouse,Medium,Approved
REQ0096,User_10,Operations,PROD047,200,2026-08-20,Howrah Warehouse,Low,Approved
REQ0097,User_12,Maintenance,PROD013,200,2026-08-18,Kolkata Warehouse,High,Approved
REQ0098,User_15,Production,PROD044,50,2026-08-17,Durgapur Warehouse,High,Approved
REQ0099,User_03,Operations,PROD003,1000,2026-08-14,Durgapur Warehouse,Medium,Approved
REQ0100,User_08,Operations,PROD008,100,2026-08-13,Durgapur Warehouse,High,Approved
