invoice_id,po_id,supplier_id,invoice_number,invoice_date,product_id,quantity,unit_price,total_amount,ocr_confidence,status
INV00079,PO00079,SUP020,INV-00079,2026-08-14,PROD010,750,850.0,637500.0,0.95,Received
INV00080,PO00080,SUP017,INV-00080,2026-08-16,PROD009,200,650.0,130000.0,0.99,Received
INV00081,PO00081,SUP007,INV-00081,2026-08-15,PROD032,50,18500.0,925000.0,0.98,Received
INV00082,PO00082,SUP006,INV-00082,2026-08-13,PROD045,1000,180.0,180000.0,0.93,Received
INV00083,PO00083,SUP016,INV-00083,2026-08-13,PROD047,480,120.0,57600.0,0.98,Received
INV00084,PO00084,SUP017,INV-00084,2026-08-17,PROD008,100,650.0,65000.0,0.96,Received
INV00085,PO00085,SUP005,INV-00085,2026-08-16,PROD038,100,250.0,25000.0,0.94,Received
INV00086,PO00086,SUP018,INV-00086,2026-08-17,PROD032,200,18500.0,3700000.0,0.92,Received
INV00087,PO00087,SUP012,INV-00087,2026-08-15,PROD021,300,3500.0,1050000.0,0.98,Received
INV00088,PO00088,SUP011,INV-00088,2026-08-12,PROD011,500,5200.0,2600000.0,0.96,Received
INV00089,PO00089,SUP016,INV-00089,2026-08-13,PROD019,500,250.0,125000.0,0.91,Received
INV00090,PO00090,SUP018,INV-00090,2026-08-17,PROD024,200,18500.0,3700000.0,0.96,Received
INV00091,PO00091,SUP002,INV-00091,2026-08-22,PROD003,50,850.0,42500.0,0.94,Received
INV00092,PO00092,SUP019,INV-00092,2026-08-22,PROD046,200,250.0,50000.0,0.96,Received
INV00093,PO00093,SUP016,INV-00093,2026-08-14,PROD038,100,250.0,25000.0,0.94,Received
INV00094,PO00094,SUP020,INV-00094,2026-08-16,PROD033,300,1800.0,540000.0,0.94,Received
INV00095,PO00095,SUP009,INV-00095,2026-08-20,PROD050,500,120.0,60000.0,0.94,Received
INV00096,PO00096,SUP009,INV-00096,2026-08-20,PROD047,200,132.0,26400.0,0.93,Received
INV00097,PO00097,SUP018,INV-00097,2026-08-18,PROD013,200,120.0,24000.0,0.94,Received
INV00098,PO00098,SUP005,INV-00098,2026-08-17,PROD044,50,650.0,32500.0,0.94,Received
INV00099,PO00099,SUP013,INV-00099,2026-08-14,PROD003,1000,850.0,850000.0,0.95,Received
INV00100,PO00100,SUP011,INV-00100,2026-08-13,PROD008,100,650.0,65000.0,0.94,Received
