shipment_id,po_id,tracking_number,trailer_id,origin,destination,departure_time,scheduled_arrival,current_lat,current_lon,eta,status,priority
SHP00063,PO00063,TRK972097,TR0063,Zenith Industrial Warehouse,Kolkata Warehouse,2026-08-10 12:00,2026-08-12 09:30,22.72705,87.92821,2026-08-12 09:30,At Yard,Medium
SHP00064,PO00064,TRK849014,TR0064,Beta Electronics Warehouse,Kolkata Warehouse,2026-08-17 14:00,2026-08-19 14:15,23.02463,88.23789,2026-08-19 14:15,At Yard,High
SHP00065,PO00065,TRK445705,TR0065,Evergreen Supplies Warehouse,Kolkata Warehouse,2026-08-11 18:00,2026-08-13 11:00,22.92354,88.38548,2026-08-13 11:00,In Transit,Medium
SHP00066,PO00066,TRK424620,TR0066,Omega Tech Warehouse,Kolkata Warehouse,2026-08-12 22:00,2026-08-14 11:45,22.52737,88.43163,2026-08-14 11:45,In Transit,Low
SHP00067,PO00067,TRK410160,TR0067,Global Tech Supplies Warehouse,Kolkata Warehouse,2026-08-11 23:00,2026-08-13 12:15,22.58593,88.00317,2026-08-13 12:15,In Transit,Medium
SHP00068,PO00068,TRK565776,TR0068,Prime Materials Warehouse,Kolkata Warehouse,2026-08-09 16:00,2026-08-11 09:45,22.85582,88.07815,2026-08-11 10:43,Delayed,High
SHP00069,PO00069,TRK245121,TR0069,Global Tech Supplies Warehouse,Kolkata Warehouse,2026-08-11 20:00,2026-08-13 14:45,23.02976,88.51267,2026-08-13 14:45,Delivered,High
SHP00070,PO00070,TRK956375,TR0070,Delta Supplies Warehouse,Kolkata Warehouse,2026-08-17 16:00,2026-08-19 14:15,22.94863,87.96879,2026-08-19 14:15,In Transit,Low
SHP00071,PO00071,TRK829884,TR0071,Gamma Industrial Warehouse,Kolkata Warehouse,2026-08-17 23:00,2026-08-19 10:15,22.47298,88.58805,2026-08-19 10:15,At Yard,Low
SHP00072,PO00072,TRK150068,TR0072,Nova Systems Warehouse,Kolkata Warehouse,2026-08-12 11:00,2026-08-14 12:00,22.9157,88.07823,2026-08-14 12:00,In Transit,Low
SHP00073,PO00073,TRK536802,TR0073,Alpha Components Warehouse,Kolkata Warehouse,2026-08-11 11:00,2026-08-12 11:45,22.45094,88.16461,2026-08-12 11:45,Delivered,High
SHP00074,PO00074,TRK461551,TR0074,United Industrial Warehouse,Kolkata Warehouse,2026-08-14 20:00,2026-08-16 11:30,22.89839,88.16782,2026-08-16 11:30,In Transit,Medium
SHP00075,PO00075,TRK407696,TR0075,Prime Materials Warehouse,Kolkata Warehouse,2026-08-11 09:00,2026-08-12 10:00,22.87963,88.6077,2026-08-12 10:00,In Transit,High
SHP00076,PO00076,TRK938171,TR0076,Core Materials Warehouse,Kolkata Warehouse,2026-08-11 02:00,2026-08-12 11:00,22.96948,88.14894,2026-08-12 11:00,In Transit,Low
SHP00077,PO00077,TRK408036,TR0077,Core Materials Warehouse,Kolkata Warehouse,2026-08-10 17:00,2026-08-12 09:45,22.81147,88.51676,2026-08-12 09:45,Delivered,High
SHP00078,PO00078,TRK178686,TR0078,Prime Materials Warehouse,Kolkata Warehouse,2026-08-10 22:00,2026-08-12 14:45,22.61473,88.63502,2026-08-12 14:45,In Transit,Medium
SHP00079,PO00079,TRK734487,TR0079,Evergreen Supplies Warehouse,Kolkata Warehouse,2026-08-13 05:00,2026-08-14 16:30,22.66729,88.6121,2026-08-14 16:30,In Transit,Medium
SHP00080,PO00080,TRK688956,TR0080,Fusion Electronics Warehouse,Kolkata Warehouse,2026-08-15 05:00,2026-08-16 09:00,22.8914,88.27428,2026-08-16 09:00,At Yard,Medium
SHP00081,PO00081,TRK800280,TR0081,Nova Systems Warehouse,Kolkata Warehouse,2026-08-14 09:00,2026-08-15 16:45,23.04836,88.50788,2026-08-15 16:45,At Yard,Low
SHP00082,PO00082,TRK700076,TR0082,Prime Materials Warehouse,Kolkata Warehouse,2026-08-12 08:00,2026-08-13 10:15,22.92422,87.91971,2026-08-13 10:15,Delivered,Medium
SHP00083,PO00083,TRK642491,TR0083,Core Materials Warehouse,Kolkata Warehouse,2026-08-12 16:00,2026-08-13 10:30,22.8354,88.23748,2026-08-13 10:30,Delivered,Medium
SHP00084,PO00084,TRK677599,TR0084,Fusion Electronics Warehouse,Kolkata Warehouse,2026-08-16 06:00,2026-08-17 11:30,22.95756,88.08795,2026-08-17 11:30,Delivered,Medium
SHP00085,PO00085,TRK772612,TR0085,Omega Tech Warehouse,Kolkata Warehouse,2026-08-14 23:00,2026-08-16 14:00,22.94514,87.92128,2026-08-16 14:00,In Transit,High
SHP00086,PO00086,TRK535810,TR0086,United Industrial Warehouse,Kolkata Warehouse,2026-08-15 19:00,2026-08-17 11:45,22.49378,87.94493,2026-08-17 11:45,At Yard,High
SHP00087,PO00087,TRK359961,TR0087,Global Tech Supplies Warehouse,Kolkata Warehouse,2026-08-13 09:00,2026-08-15 09:30,22.59504,87.99189,2026-08-15 09:30,At Yard,Low
SHP00088,PO00088,TRK194423,TR0088,Metro Parts Warehouse,Kolkata Warehouse,2026-08-10 13:00,2026-08-12 14:45,22.74926,88.13141,2026-08-12 14:45,In Transit,High
SHP00089,PO00089,TRK483545,TR0089,Core Materials Warehouse,Kolkata Warehouse,2026-08-11 10:00,2026-08-13 09:00,22.70856,88.56184,2026-08-13 09:00,Delivered,High
SHP00090,PO00090,TRK933510,TR0090,United Industrial Warehouse,Kolkata Warehouse,2026-08-15 09:00,2026-08-17 11:00,22.5272,87.97251,2026-08-17 11:00,At Yard,Low
SHP00091,PO00091,TRK742848,TR0091,Beta Electronics Warehouse,Kolkata Warehouse,2026-08-20 11:00,2026-08-22 12:15,22.98588,88.00484,2026-08-22 13:28,Delayed,Low
SHP00092,PO00092,TRK821466,TR0092,Pioneer Parts Warehouse,Kolkata Warehouse,2026-08-20 23:00,2026-08-22 16:00,23.03794,88.33778,2026-08-22 16:00,Delivered,Medium
SHP00093,PO00093,TRK300051,TR0093,Core Materials Warehouse,Kolkata Warehouse,2026-08-12 20:00,2026-08-14 10:15,22.46894,88.61115,2026-08-14 10:15,In Transit,High
SHP00094,PO00094,TRK651002,TR0094,Evergreen Supplies Warehouse,Kolkata Warehouse,2026-08-15 12:00,2026-08-16 14:15,22.78653,88.64859,2026-08-16 14:15,At Yard,High
SHP00095,PO00095,TRK839142,TR0095,Apex Components Warehouse,Kolkata Warehouse,2026-08-18 09:00,2026-08-20 11:15,23.01489,88.6367,2026-08-20 11:15,At Yard,Medium
SHP00096,PO00096,TRK144109,TR0096,Apex Components Warehouse,Kolkata Warehouse,2026-08-18 20:00,2026-08-20 12:30,23.02277,88.50346,2026-08-20 12:30,At Yard,Low
SHP00097,PO00097,TRK336633,TR0097,United Industrial Warehouse,Kolkata Warehouse,2026-08-17 14:00,2026-08-18 14:15,22.59547,88.40238,2026-08-18 14:15,Delivered,High
SHP00098,PO00098,TRK777273,TR0098,Omega Tech Warehouse,Kolkata Warehouse,2026-08-15 14:00,2026-08-17 12:15,22.90355,88.11543,2026-08-17 12:15,At Yard,High
SHP00099,PO00099,TRK398384,TR0099,Rapid Components Warehouse,Kolkata Warehouse,2026-08-13 18:00,2026-08-14 09:30,22.79078,87.98048,2026-08-14 09:30,At Yard,Medium
SHP00100,PO00100,TRK284019,TR0100,Metro Parts Warehouse,Kolkata Warehouse,2026-08-12 09:00,2026-08-13 09:30,22.92446,88.32584,2026-08-13 09:30,In Transit,High
