assignment_id,trailer_id,dock_id,assigned_at,scheduled_start,scheduled_end,assignment_reason,status
DA00031,TR0031,D05,2026-08-07 08:00,2026-08-07 14:00,2026-08-07 14:45,Available + priority + ETA + load compatibility,Assigned
DA00032,TR0032,D02,2026-08-15 08:00,2026-08-15 10:30,2026-08-15 11:15,Available + priority + ETA + load compatibility,Assigned
DA00033,TR0033,D04,2026-08-08 08:00,2026-08-08 12:45,2026-08-08 13:30,Available + priority + ETA + load compatibility,Assigned
DA00034,TR0034,D03,2026-08-10 08:00,2026-08-10 16:15,2026-08-10 17:00,Available + priority + ETA + load compatibility,Assigned
DA00035,TR0035,D06,2026-08-14 08:00,2026-08-14 10:45,2026-08-14 11:30,Available + priority + ETA + load compatibility,Assigned
DA00036,TR0036,D04,2026-08-09 08:00,2026-08-09 10:45,2026-08-09 11:30,Available + priority + ETA + load compatibility,Assigned
DA00037,TR0037,D02,2026-08-13 08:00,2026-08-13 16:45,2026-08-13 17:30,Available + priority + ETA + load compatibility,Assigned
DA00038,TR0038,D09,2026-08-10 08:00,2026-08-10 09:45,2026-08-10 10:30,Available + priority + ETA + load compatibility,Assigned
DA00039,TR0039,D03,2026-08-08 08:00,2026-08-08 16:30,2026-08-08 17:15,Available + priority + ETA + load compatibility,Assigned
DA00040,TR0040,D08,2026-08-07 08:00,2026-08-07 10:15,2026-08-07 11:00,Available + priority + ETA + load compatibility,Assigned
DA00041,TR0041,D05,2026-08-15 08:00,2026-08-15 16:15,2026-08-15 17:00,Available + priority + ETA + load compatibility,Assigned
DA00042,TR0042,D05,2026-08-17 08:00,2026-08-17 16:30,2026-08-17 17:15,Available + priority + ETA + load compatibility,Assigned
DA00043,TR0043,D02,2026-08-11 08:00,2026-08-11 16:00,2026-08-11 16:45,Available + priority + ETA + load compatibility,Assigned
DA00044,TR0044,D08,2026-08-09 08:00,2026-08-09 14:30,2026-08-09 15:15,Available + priority + ETA + load compatibility,Assigned
DA00045,TR0045,D04,2026-08-09 08:00,2026-08-09 11:00,2026-08-09 11:45,Available + priority + ETA + load compatibility,Assigned
DA00046,TR0046,D04,2026-08-08 08:00,2026-08-08 16:30,2026-08-08 17:15,Available + priority + ETA + load compatibility,Assigned
DA00047,TR0047,D08,2026-08-11 08:00,2026-08-11 12:00,2026-08-11 12:45,Available + priority + ETA + load compatibility,Assigned
DA00048,TR0048,D06,2026-08-11 08:00,2026-08-11 10:00,2026-08-11 10:45,Available + priority + ETA + load compatibility,Assigned
DA00049,TR0049,D02,2026-08-11 08:00,2026-08-11 11:15,2026-08-11 12:00,Available + priority + ETA + load compatibility,Assigned
DA00050,TR0050,D09,2026-08-11 08:00,2026-08-11 11:00,2026-08-11 11:45,Available + priority + ETA + load compatibility,Assigned
DA00051,TR0051,D02,2026-08-12 08:00,2026-08-12 12:00,2026-08-12 12:45,Available + priority + ETA + load compatibility,Assigned
DA00052,TR0052,D02,2026-08-17 08:00,2026-08-17 16:30,2026-08-17 17:15,Available + priority + ETA + load compatibility,Assigned
DA00053,TR0053,D03,2026-08-14 08:00,2026-08-14 11:45,2026-08-14 12:30,Available + priority + ETA + load compatibility,Assigned
DA00054,TR0054,D01,2026-08-17 08:00,2026-08-17 10:00,2026-08-17 10:45,Available + priority + ETA + load compatibility,Assigned
DA00055,TR0055,D09,2026-08-18 08:00,2026-08-18 10:00,2026-08-18 10:45,Available + priority + ETA + load compatibility,Assigned
DA00056,TR0056,D02,2026-08-14 08:00,2026-08-14 09:15,2026-08-14 10:00,Available + priority + ETA + load compatibility,Assigned
DA00057,TR0057,D10,2026-08-17 08:00,2026-08-17 11:15,2026-08-17 12:00,Available + priority + ETA + load compatibility,Assigned
DA00058,TR0058,D04,2026-08-16 08:00,2026-08-16 14:00,2026-08-16 14:45,Available + priority + ETA + load compatibility,Assigned
DA00059,TR0059,D02,2026-08-12 08:00,2026-08-12 11:00,2026-08-12 11:45,Available + priority + ETA + load compatibility,Assigned
DA00060,TR0060,D06,2026-08-10 08:00,2026-08-10 14:45,2026-08-10 15:30,Available + priority + ETA + load compatibility,Assigned
DA00061,TR0061,D06,2026-08-17 08:00,2026-08-17 16:30,2026-08-17 17:15,Available + priority + ETA + load compatibility,Assigned
DA00062,TR0062,D06,2026-08-16 08:00,2026-08-16 16:00,2026-08-16 16:45,Available + priority + ETA + load compatibility,Assigned
DA00063,TR0063,D08,2026-08-12 08:00,2026-08-12 09:30,2026-08-12 10:15,Available + priority + ETA + load compatibility,Assigned
DA00064,TR0064,D04,2026-08-19 08:00,2026-08-19 14:15,2026-08-19 15:00,Available + priority + ETA + load compatibility,Assigned
DA00065,TR0065,D05,2026-08-13 08:00,2026-08-13 11:00,2026-08-13 11:45,Available + priority + ETA + load compatibility,Assigned
DA00066,TR0066,D09,2026-08-14 08:00,2026-08-14 11:45,2026-08-14 12:30,Available + priority + ETA + load compatibility,Assigned
DA00067,TR0067,D10,2026-08-13 08:00,2026-08-13 12:15,2026-08-13 13:00,Available + priority + ETA + load compatibility,Assigned
DA00068,TR0068,D09,2026-08-11 08:00,2026-08-11 09:45,2026-08-11 10:30,Available + priority + ETA + load compatibility,Assigned
DA00069,TR0069,D06,2026-08-13 08:00,2026-08-13 14:45,2026-08-13 15:30,Available + priority + ETA + load compatibility,Assigned
DA00070,TR0070,D01,2026-08-19 08:00,2026-08-19 14:15,2026-08-19 15:00,Available + priority + ETA + load compatibility,Assigned
DA00071,TR0071,D10,2026-08-19 08:00,2026-08-19 10:15,2026-08-19 11:00,Available + priority + ETA + load compatibility,Assigned
DA00072,TR0072,D02,2026-08-14 08:00,2026-08-14 12:00,2026-08-14 12:45,Available + priority + ETA + load compatibility,Assigned
DA00073,TR0073,D02,2026-08-12 08:00,2026-08-12 11:45,2026-08-12 12:30,Available + priority + ETA + load compatibility,Assigned
DA00074,TR0074,D03,2026-08-16 08:00,2026-08-16 11:30,2026-08-16 12:15,Available + priority + ETA + load compatibility,Assigned
DA00075,TR0075,D06,2026-08-12 08:00,2026-08-12 10:00,2026-08-12 10:45,Available + priority + ETA + load compatibility,Assigned
DA00076,TR0076,D07,2026-08-12 08:00,2026-08-12 11:00,2026-08-12 11:45,Available + priority + ETA + load compatibility,Assigned
DA00077,TR0077,D05,2026-08-12 08:00,2026-08-12 09:45,2026-08-12 10:30,Available + priority + ETA + load compatibility,Assigned
DA00078,TR0078,D09,2026-08-12 08:00,2026-08-12 14:45,2026-08-12 15:30,Available + priority + ETA + load compatibility,Assigned
DA00079,TR0079,D06,2026-08-14 08:00,2026-08-14 16:30,2026-08-14 17:15,Available + priority + ETA + load compatibility,Assigned
DA00080,TR0080,D04,2026-08-16 08:00,2026-08-16 09:00,2026-08-16 09:45,Available + priority + ETA + load compatibility,Assigned
DA00081,TR0081,D05,2026-08-15 08:00,2026-08-15 16:45,2026-08-15 17:30,Available + priority + ETA + load compatibility,Assigned
DA00082,TR0082,D02,2026-08-13 08:00,2026-08-13 10:15,2026-08-13 11:00,Available + priority + ETA + load compatibility,Assigned
DA00083,TR0083,D07,2026-08-13 08:00,2026-08-13 10:30,2026-08-13 11:15,Available + priority + ETA + load compatibility,Assigned
DA00084,TR0084,D09,2026-08-17 08:00,2026-08-17 11:30,2026-08-17 12:15,Available + priority + ETA + load compatibility,Assigned
DA00085,TR0085,D10,2026-08-16 08:00,2026-08-16 14:00,2026-08-16 14:45,Available + priority + ETA + load compatibility,Assigned
DA00086,TR0086,D10,2026-08-17 08:00,2026-08-17 11:45,2026-08-17 12:30,Available + priority + ETA + load compatibility,Assigned
DA00087,TR0087,D07,2026-08-15 08:00,2026-08-15 09:30,2026-08-15 10:15,Available + priority + ETA + load compatibility,Assigned
DA00088,TR0088,D04,2026-08-12 08:00,2026-08-12 14:45,2026-08-12 15:30,Available + priority + ETA + load compatibility,Assigned
DA00089,TR0089,D07,2026-08-13 08:00,2026-08-13 09:00,2026-08-13 09:45,Available + priority + ETA + load compatibility,Assigned
DA00090,TR0090,D04,2026-08-17 08:00,2026-08-17 11:00,2026-08-17 11:45,Available + priority + ETA + load compatibility,Assigned
DA00091,TR0091,D10,2026-08-22 08:00,2026-08-22 12:15,2026-08-22 13:00,Available + priority + ETA + load compatibility,Assigned
DA00092,TR0092,D10,2026-08-22 08:00,2026-08-22 16:00,2026-08-22 16:45,Available + priority + ETA + load compatibility,Assigned
DA00093,TR0093,D03,2026-08-14 08:00,2026-08-14 10:15,2026-08-14 11:00,Available + priority + ETA + load compatibility,Assigned
DA00094,TR0094,D09,2026-08-16 08:00,2026-08-16 14:15,2026-08-16 15:00,Available + priority + ETA + load compatibility,Assigned
DA00095,TR0095,D08,2026-08-20 08:00,2026-08-20 11:15,2026-08-20 12:00,Available + priority + ETA + load compatibility,Assigned
DA00096,TR0096,D08,2026-08-20 08:00,2026-08-20 12:30,2026-08-20 13:15,Available + priority + ETA + load compatibility,Assigned
DA00097,TR0097,D07,2026-08-18 08:00,2026-08-18 14:15,2026-08-18 15:00,Available + priority + ETA + load compatibility,Assigned
DA00098,TR0098,D03,2026-08-17 08:00,2026-08-17 12:15,2026-08-17 13:00,Available + priority + ETA + load compatibility,Assigned
DA00099,TR0099,D09,2026-08-14 08:00,2026-08-14 09:30,2026-08-14 10:15,Available + priority + ETA + load compatibility,Assigned
DA00100,TR0100,D09,2026-08-13 08:00,2026-08-13 09:30,2026-08-13 10:15,Available + priority + ETA + load compatibility,Assigned
