po_id,requisition_id,supplier_id,product_id,quantity,unit_price,total_amount,order_date,expected_delivery,priority,status
PO00059,REQ0059,SUP007,PROD001,200,18500.0,3700000.0,2026-08-06,2026-08-12,Low,Confirmed
PO00060,REQ0060,SUP001,PROD028,300,180.0,54000.0,2026-08-06,2026-08-10,Low,Confirmed
PO00061,REQ0061,SUP014,PROD016,500,250.0,125000.0,2026-08-07,2026-08-17,Medium,Confirmed
PO00062,REQ0062,SUP008,PROD010,50,850.0,42500.0,2026-08-07,2026-08-16,Low,Confirmed
PO00063,REQ0063,SUP010,PROD029,1000,420.0,420000.0,2026-08-07,2026-08-12,Medium,Confirmed
PO00064,REQ0064,SUP002,PROD048,300,1800.0,540000.0,2026-08-07,2026-08-19,High,Confirmed
PO00065,REQ0065,SUP020,PROD034,100,420.0,42000.0,2026-08-07,2026-08-13,Medium,Confirmed
PO00066,REQ0066,SUP005,PROD039,200,1200.0,240000.0,2026-08-07,2026-08-14,Low,Confirmed
PO00067,REQ0067,SUP012,PROD033,50,1800.0,90000.0,2026-08-07,2026-08-13,Medium,Confirmed
PO00068,REQ0068,SUP006,PROD011,1000,5200.0,5200000.0,2026-08-07,2026-08-11,High,Confirmed
PO00069,REQ0069,SUP012,PROD013,750,120.0,90000.0,2026-08-07,2026-08-13,High,Confirmed
PO00070,REQ0070,SUP004,PROD034,200,420.0,84000.0,2026-08-07,2026-08-19,Low,Confirmed
PO00071,REQ0071,SUP003,PROD025,200,3500.0,700000.0,2026-08-08,2026-08-19,Low,Confirmed
PO00072,REQ0072,SUP007,PROD017,1000,1200.0,1200000.0,2026-08-08,2026-08-14,Low,Confirmed
PO00073,REQ0073,SUP001,PROD035,750,420.0,315000.0,2026-08-08,2026-08-12,High,Confirmed
PO00074,REQ0074,SUP018,PROD033,50,1800.0,90000.0,2026-08-08,2026-08-16,Medium,Confirmed
PO00075,REQ0075,SUP006,PROD042,1000,18500.0,18500000.0,2026-08-08,2026-08-12,High,Confirmed
PO00076,REQ0076,SUP016,PROD035,200,420.0,84000.0,2026-08-08,2026-08-12,Low,Confirmed
PO00077,REQ0077,SUP016,PROD045,200,180.0,36000.0,2026-08-08,2026-08-12,High,Confirmed
PO00078,REQ0078,SUP006,PROD028,750,180.0,135000.0,2026-08-08,2026-08-12,Medium,Confirmed
PO00079,REQ0079,SUP020,PROD010,750,850.0,637500.0,2026-08-08,2026-08-14,Medium,Confirmed
PO00080,REQ0080,SUP017,PROD009,200,650.0,130000.0,2026-08-08,2026-08-16,Medium,Confirmed
PO00081,REQ0081,SUP007,PROD032,50,18500.0,925000.0,2026-08-09,2026-08-15,Low,Confirmed
PO00082,REQ0082,SUP006,PROD045,1000,180.0,180000.0,2026-08-09,2026-08-13,Medium,Confirmed
PO00083,REQ0083,SUP016,PROD047,500,120.0,60000.0,2026-08-09,2026-08-13,Medium,Confirmed
PO00084,REQ0084,SUP017,PROD008,100,650.0,65000.0,2026-08-09,2026-08-17,Medium,Confirmed
PO00085,REQ0085,SUP005,PROD038,100,250.0,25000.0,2026-08-09,2026-08-16,High,Confirmed
PO00086,REQ0086,SUP018,PROD032,200,18500.0,3700000.0,2026-08-09,2026-08-17,High,Confirmed
PO00087,REQ0087,SUP012,PROD021,300,3500.0,1050000.0,2026-08-09,2026-08-15,Low,Confirmed
PO00088,REQ0088,SUP011,PROD011,500,5200.0,2600000.0,2026-08-09,2026-08-12,High,Confirmed
PO00089,REQ0089,SUP016,PROD019,500,250.0,125000.0,2026-08-09,2026-08-13,High,Confirmed
PO00090,REQ0090,SUP018,PROD024,200,18500.0,3700000.0,2026-08-09,2026-08-17,Low,Confirmed
PO00091,REQ0091,SUP002,PROD003,50,850.0,42500.0,2026-08-10,2026-08-22,Low,Confirmed
PO00092,REQ0092,SUP019,PROD046,200,250.0,50000.0,2026-08-10,2026-08-22,Medium,Confirmed
PO00093,REQ0093,SUP016,PROD038,100,250.0,25000.0,2026-08-10,2026-08-14,High,Confirmed
PO00094,REQ0094,SUP020,PROD033,300,1800.0,540000.0,2026-08-10,2026-08-16,High,Confirmed
PO00095,REQ0095,SUP009,PROD050,500,120.0,60000.0,2026-08-10,2026-08-20,Medium,Confirmed
PO00096,REQ0096,SUP009,PROD047,200,120.0,24000.0,2026-08-10,2026-08-20,Low,Confirmed
PO00097,REQ0097,SUP018,PROD013,200,120.0,24000.0,2026-08-10,2026-08-18,High,Confirmed
PO00098,REQ0098,SUP005,PROD044,50,650.0,32500.0,2026-08-10,2026-08-17,High,Confirmed
PO00099,REQ0099,SUP013,PROD003,1000,850.0,850000.0,2026-08-10,2026-08-14,Medium,Confirmed
PO00100,REQ0100,SUP011,PROD008,100,650.0,65000.0,2026-08-10,2026-08-13,High,Confirmed
